Experiment,FrogCode,Mass
2021,01.A,6.23
2021,02.A,5.42
2021,03.A,6.73
2021,04.A,6.64
2021,05.A,4.05
2021,06.A,3.76
2021,07.A,9.09
2021,08.A,4.94
2021,09.A,6.85
2021,10.A,8.01
2021,11.A,4.81
2021,12.A,5.95
2021,13.A,6.3
2021,14.A,6.12
2021,15.A,5.02
2021,16.A,7.33
2021,17.B,5.42
2021,18.B,5.59
2021,19.B,5.65
2021,20.B,5.8
2021,21.B,8.76
2021,22.B,8.46
2021,23.B,7.3
2021,24.B,4.84
2021,25.B,6.03
2021,26.B,5.22
2021,27.B,5.97
2021,28.B,4.72
2021,29.B,4.1
2021,30.B,4.76
2021,31.B,3.23
2021,32.B,7.35
2021,33.C,9.3
2021,34.C,5.02
2021,35.C,5.18
2021,36.C,7.28
2021,37.C,6.75
2021,38.C,6.05
2021,39.C,6.57
2021,40.C,4.78
2021,41.C,5.07
2021,42.C,6.12
2021,43.C,4.69
2021,44.C,5.06
2021,45.C,11.3
2021,46.C,4.81
2021,47.C,6.65
2021,48.C,6.07
2021,49.D,4.91
2021,50.D,5.45
2021,51.D,4.5
2021,52.D,6.75
2021,53.D,5.09
2021,54.D,5.99
2021,55.D,7.49
2021,56.D,3.41
2021,57.D,5.03
2021,58.D,7.12
2021,59.D,5.67
2021,60.D,6.97
2021,61.D,7.44
2021,62.D,6.37
2021,63.D,7.11
2021,64.D,8.51
2021,65.E,4.91
2021,66.E,4.22
2021,67.E,7.97
2021,68.E,4.79
2021,69.E,5.23
2021,70.E,7.2
2021,71.E,8.61
2021,72.E,9
2021,73.E,6.3
2021,74.E,6.23
2021,75.E,5.59
2021,76.E,4.61
2021,77.E,4.26
2021,78.E,5.78
2021,79.E,7.19
2021,80.E,5.04
2022,001.A,10.63
2022,002.A,10.09
2022,003.A,7.04
2022,004.A,7.56
2022,005.A,7.95
2022,006.A,10.14
2022,007.A,8.21
2022,008.A,9.78
2022,009.A,10.73
2022,010.A,9.28
2022,011.A,11.87
2022,012.A,7.9
2022,013.A,9.79
2022,014.A,6.46
2022,015.A,10.98
2022,016.A,11.3
2022,017.A,8.64
2022,018.A,7.84
2022,019.A,7.95
2022,020.A,9.71
2022,021.B,7.28
2022,022.B,10.77
2022,023.B,6.89
2022,024.B,7.33
2022,025.B,7.32
2022,026.B,7.28
2022,027.B,9.45
2022,028.B,6.69
2022,029.B,6.7
2022,030.B,7.17
2022,031.B,8.3
2022,032.B,7.36
2022,033.B,11.92
2022,034.B,10.75
2022,035.B,9.52
2022,036.B,9.2
2022,037.B,11.37
2022,038.B,8.6
2022,039.B,11.89
2022,040.B,7.73
2022,041.C,8.79
2022,042.C,6.92
2022,043.C,13.71
2022,044.C,7.76
2022,045.C,12.18
2022,046.C,11.34
2022,047.C,8.1
2022,048.C,5.93
2022,049.C,5.7
2022,050.C,7.2
2022,051.C,8.85
2022,052.C,10.61
2022,053.C,9.38
2022,054.C,8.65
2022,055.C,8.7
2022,056.C,7.75
2022,057.C,7.75
2022,058.C,8.76
2022,059.C,8.8
2022,060.C,9.6
2022,061.D,6.82
2022,062.D,10.24
2022,063.D,7.65
2022,064.D,14.78
2022,065.D,11.49
2022,066.D,10.41
2022,067.D,11.73
2022,068.D,13.5
2022,069.D,17.15
2022,070.D,14.17
2022,071.D,9.92
2022,072.D,9.72
2022,073.D,11.54
2022,074.D,18.57
2022,075.D,10.58
2022,076.D,11.56
2022,077.D,14.92
2022,078.D,9.65
2022,079.D,6.35
2022,080.D,8.3
2022,081.E,7.99
2022,082.E,7.42
2022,083.E,7.31
2022,084.E,8.1
2022,085.E,7.23
2022,086.E,6.63
2022,087.E,8.26
2022,088.E,9.96
2022,089.E,8.17
2022,090.E,7.77
2022,091.E,9.62
2022,092.E,9.86
2022,093.E,11.19
2022,094.E,7.08
2022,095.E,7.94
2022,096.E,10
2022,097.E,6.48
2022,098.E,6.88
2022,099.E,7.99
2022,100.E,9.01
2022,101.F,8.23
2022,102.F,10.65
2022,103.F,8.5
2022,104.F,8.53
2022,105.F,6.97
2022,106.F,7.06
2022,107.F,7.98
2022,108.F,9.46
2022,109.F,8.69
2022,110.F,9.73
2022,111.F,11.22
2022,112.F,8.26
2022,113.F,8.53
2022,114.F,7.03
2022,115.F,8.1
2022,116.F,9.37
2022,117.F,9.54
2022,118.F,9.29
2022,119.F,9.39
2022,120.F,7.54
2022,121.F,6.91
2022,122.F,10.49
2022,123.F,9.73
2022,124.F,8.04
